Timestamp,Source Ip,Level,Message,Category
2025-11-22 04:25:35,103.160.51.65,Critical,[2025-11-22 04:25:35] [Critical] 103.160.51.65 - Denial of Service (DoS) (SIM),Critical
2025-11-22 04:25:29,103.136.144.52,Error,[2025-11-22 04:25:29] [Error] 103.136.144.52 - SQL Injection Detected (SIM),Error
2025-11-22 04:25:23,103.103.140.70,Warn,[2025-11-22 04:25:23] [Warn] 103.103.140.70 - Unauthorized access (SIM),Warn
2025-11-22 04:25:21,103.188.26.146,Error,[2025-11-22 04:25:21] [Error] 103.188.26.146 - SQL Injection Detected (SIM),Error
2025-11-22 04:25:04,103.188.159.62,Critical,[2025-11-22 04:25:04] [Error] 103.188.159.62 - Denial of Service (DoS) (SIM),Critical
2025-11-22 04:24:25,103.143.249.222,Critical,[2025-11-22 04:24:25] [Error] 103.143.249.222 - Root Login Failed (SIM),Critical
2025-11-22 04:24:21,103.101.251.44,Critical,[2025-11-22 04:24:21] [Error] 103.101.251.44 - Denial of Service (DoS) (SIM),Critical
2025-11-22 04:24:16,103.199.237.153,Critical,[2025-11-22 04:24:16] [Critical] 103.199.237.153 - Denial of Service (DoS) (SIM),Critical
2025-11-22 04:24:07,103.149.231.172,Critical,[2025-11-22 04:24:07] [Error] 103.149.231.172 - Root Login Failed (SIM),Critical
2025-11-22 04:24:00,103.163.26.167,Error,[2025-11-22 04:24:00] [Warn] 103.163.26.167 - SQL Injection Detected (SIM),Error
2025-11-22 04:23:57,103.188.172.122,Critical,[2025-11-22 04:23:57] [Warn] 103.188.172.122 - Root Login Failed (SIM),Critical
2025-11-22 04:23:49,103.197.95.193,Critical,[2025-11-22 04:23:49] [Critical] 103.197.95.193 - SQL Injection Detected (SIM),Critical
2025-11-22 04:23:36,103.148.254.3,Critical,[2025-11-22 04:23:36] [Warn] 103.148.254.3 - Root Login Failed (SIM),Critical
2025-11-22 04:23:35,103.129.175.186,Warn,[2025-11-22 04:23:35] [Warn] 103.129.175.186 - Unauthorized access (SIM),Warn
2025-11-22 04:23:30,103.171.192.49,Critical,[2025-11-22 04:23:30] [Critical] 103.171.192.49 - SQL Injection Detected (SIM),Critical
2025-11-22 04:23:29,103.153.88.69,Warn,[2025-11-22 04:23:29] [Warn] 103.153.88.69 - Unauthorized access (SIM),Warn
2025-11-22 04:23:04,103.104.73.127,Error,[2025-11-22 04:23:04] [Error] 103.104.73.127 - SQL Injection Detected (SIM),Error
2025-11-22 04:22:57,103.183.223.89,Error,[2025-11-22 04:22:57] [Error] 103.183.223.89 - SQL Injection Detected (SIM),Error
2025-11-22 04:21:04,103.132.196.82,Critical,[2025-11-22 04:21:04] [Warn] 103.132.196.82 - Denial of Service (DoS) (SIM),Critical
2025-11-22 04:21:03,103.177.90.174,Error,[2025-11-22 04:21:03] [Warn] 103.177.90.174 - SQL Injection Detected (SIM),Error
2025-11-22 04:20:53,103.190.89.27,Warn,[2025-11-22 04:20:53] [Warn] 103.190.89.27 - Unauthorized access (SIM),Warn
2025-11-22 04:20:45,103.100.48.208,Critical,[2025-11-22 04:20:45] [Warn] 103.100.48.208 - Denial of Service (DoS) (SIM),Critical
2025-11-22 04:20:39,103.169.126.223,Critical,[2025-11-22 04:20:39] [Critical] 103.169.126.223 - SQL Injection Detected (SIM),Critical
2025-11-22 04:20:38,103.152.140.169,Critical,[2025-11-22 04:20:38] [Critical] 103.152.140.169 - Root Login Failed (SIM),Critical
2025-11-22 04:20:36,103.112.50.45,Critical,[2025-11-22 04:20:36] [Warn] 103.112.50.45 - Root Login Failed (SIM),Critical
