Timestamp,Action,Details,UserEmail
2025-11-19 23:38:03,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 23:37:59,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 23:33:46,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 23:33:43,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 23:29:34,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 23:29:27,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 23:21:33,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 23:21:31,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 23:15:26,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 23:15:21,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 23:13:42,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 23:13:40,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 23:05:09,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 23:05:08,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 23:02:52,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 23:02:51,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 23:00:13,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 22:59:59,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 22:56:08,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 22:56:07,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 22:01:40,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 22:01:37,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:58:43,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:58:30,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:51:03,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:51:01,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:38:56,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:38:54,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:33:38,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:33:36,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:27:55,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:27:54,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:25:53,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:25:51,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:17:33,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:17:31,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:14:40,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:14:38,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:12:45,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:12:43,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:10:11,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:10:10,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 21:02:02,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 21:02:01,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:55:26,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:55:24,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:54:51,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:54:50,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:50:42,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:50:41,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:44:37,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:44:36,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:38:19,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:38:18,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:35:36,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:35:34,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:31:43,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:31:42,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:21:47,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:21:46,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:19:57,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:19:56,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:14:10,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:14:08,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 20:12:35,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 20:12:34,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 19:33:47,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 19:33:45,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:53:30,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:53:28,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:43:11,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:43:09,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:40:14,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:40:12,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:35:13,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:35:11,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:30:19,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:30:17,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:29:10,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:29:08,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:18:18,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:18:13,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:11:51,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:11:49,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:09:11,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 12:09:09,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 12:08:45,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 11:55:46,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 11:55:43,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 11:51:33,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 11:51:30,APPLICATION_START,"Theme: Dark, Scale: 1.0",
2025-11-19 10:32:27,GUEST_LOGIN,Guest user accessed dashboard.,
2025-11-19 10:32:22,APPLICATION_START,"Theme: Dark, Scale: 100%",
2025-11-19 08:54:17,APPLICATION_START,"Theme: Dark, Scale: 100%",
